kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
BFS_new.1.sm_30.ptx 100 : 393216 1831889 0 0 0 0 0 0 29042 
BFS_new.1.sm_30.ptx 99 : 393216 2579601 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 98 : 393216 4146905 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 97 : 393216 3942659 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 96 : 393216 4158928 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 93 : 126844 14179838 6720 0 0 110115 48745 0 0 
BFS_new.1.sm_30.ptx 92 : 126844 14492558 1696 0 0 110115 48745 0 0 
BFS_new.1.sm_30.ptx 91 : 126844 1062456 0 0 0 48745 48745 0 0 
BFS_new.1.sm_30.ptx 90 : 126844 1014758 0 0 0 126762 48745 0 0 
BFS_new.1.sm_30.ptx 89 : 126844 1207310 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 88 : 126844 933499 0 0 0 126815 48745 0 0 
BFS_new.1.sm_30.ptx 87 : 126844 1194558 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 86 : 126844 1292039 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 85 : 126844 1222559 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 84 : 126844 39155654 85856 0 0 93099 48745 0 0 
BFS_new.1.sm_30.ptx 82 : 393216 1387554 0 0 0 0 0 0 30393 
BFS_new.1.sm_30.ptx 81 : 393216 2414051 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 80 : 393216 503766535 0 0 0 392389 73417 0 0 
BFS_new.1.sm_30.ptx 79 : 393216 3611672 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 78 : 393216 2492840 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 77 : 393216 279099185 228480 0 0 367332 73417 0 0 
BFS_new.1.sm_30.ptx 74 : 65536 526502 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 73 : 65536 471498 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 72 : 65536 599792 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 71 : 65536 596309 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 70 : 65536 418857 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 69 : 65536 1953738 0 0 0 38821 8358 0 0 
BFS_new.1.sm_30.ptx 47 : 655360 4714112 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 46 : 655360 4833728 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 44 : 655360 0 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 43 : 655360 5684768 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 42 : 655360 7482432 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 41 : 655360 4878304 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 40 : 655360 3932160 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 39 : 655360 4210656 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 38 : 655360 7034336 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 37 : 655360 8673280 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 32 : 655360 9542336 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 31 : 655360 21980448 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 68 : 65536 599136 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 33 : 655360 8519680 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 34 : 655360 8519680 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 35 : 655360 8519680 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 36 : 655360 8519680 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 48 : 655360 6419392 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 49 : 655360 142305152 0 0 0 20480 20480 0 0 
BFS_new.1.sm_30.ptx 50 : 655360 4126176 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 51 : 655360 3360314 0 0 0 0 0 0 8358 
BFS_new.1.sm_30.ptx 103 : 655360 3474720 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 66 : 65536 415263 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 53 : 65536 478034 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 54 : 65536 465490 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 55 : 65536 408819 0 0 0 8358 8358 0 0 
BFS_new.1.sm_30.ptx 56 : 65536 675804 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 57 : 65536 509641 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 58 : 65536 668998 0 0 0 8358 8358 0 0 
BFS_new.1.sm_30.ptx 59 : 65536 697838 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 60 : 65536 723299 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 61 : 65536 767551 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 62 : 65536 40276262 94080 0 0 38821 8358 0 0 
BFS_new.1.sm_30.ptx 63 : 65536 405334 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 64 : 65536 0 0 0 0 0 0 0 0 
BFS_new.1.sm_30.ptx 67 : 65536 606734 0 0 0 0 0 0 0 
