kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
HS.1.sm_30.ptx 261 : 256 1280 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 175 : 416 2288 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 174 : 416 2496 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 173 : 416 2496 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 172 : 416 2496 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 171 : 416 2496 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 170 : 416 3744 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 169 : 416 3744 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 168 : 416 3744 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 167 : 416 2496 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 166 : 416 3952 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 165 : 416 2704 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 164 : 416 2496 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 163 : 416 2496 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 162 : 416 2496 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 161 : 416 2496 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 160 : 416 3744 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 159 : 416 3744 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 158 : 416 3744 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 157 : 416 2288 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 156 : 416 2704 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 155 : 416 4160 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 154 : 416 2912 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 153 : 416 2704 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 83 : 256 1408 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 82 : 256 1536 0 0 0 0 0 0 0 
HS.1.sm_30.ptx 81 : 256 1536 0 0 0 0 0 0 0 
